사용일자,노선명,역명,승차총승객수,하차총승객수
20220106,4호선,남태령,1102,1020
20220106,4호선,당고개,12127,11244
20220106,4호선,상계,18513,17300
20220106,4호선,노원,18100,20257
20220106,4호선,창동,24528,25927
20220106,4호선,쌍문,28423,26462
20220106,5호선,방화,6533,6391
20220106,5호선,개화산,5373,5102
20220106,5호선,김포공항,7025,6712
20220106,5호선,송정,6275,5991
20220106,5호선,마곡,10984,10769
20220106,5호선,발산,20270,20234
20220106,5호선,우장산,13725,13778
20220106,5호선,화곡,27667,26233
20220106,5호선,까치산,28150,27491
20220106,5호선,신정(은행정),13794,11031
20220106,5호선,목동,16370,17947
20220106,5호선,오목교(목동운동장앞),21449,22793
20220106,5호선,양평,7635,7627
20220106,5호선,영등포구청,3852,3989
20220106,5호선,영등포시장,10032,10455
20220106,5호선,신길,4054,4522
20220106,5호선,여의도,29337,30379
20220106,5호선,여의나루,8658,9421
20220106,5호선,마포,14253,14587
20220106,5호선,공덕,13849,14488
20220106,5호선,애오개,6690,6759
20220106,5호선,충정로(경기대입구),4738,4894
20220106,5호선,서대문,18585,18996
20220106,5호선,광화문(세종문화회관),30129,31309
20220106,5호선,종로3가,12010,11781
20220106,5호선,을지로4가,6216,6144
20220106,5호선,동대문역사문화공원(DDP),3002,3439
20220106,5호선,청구,3896,3513
20220106,5호선,신금호,5998,6399
20220106,5호선,행당,7823,7080
20220106,5호선,왕십리(성동구청),4659,5127
20220106,5호선,마장,5427,5081
20220106,5호선,답십리,15704,14475
20220106,5호선,장한평,18610,18572
20220106,5호선,군자(능동),10974,11992
20220106,5호선,아차산(어린이대공원후문),13842,13554
20220106,5호선,광나루(장신대),12926,11825
20220106,5호선,천호(풍납토성),17762,17467
20220106,5호선,강동,18195,17537
20220106,5호선,길동,7827,8139
20220106,5호선,굽은다리(강동구민회관앞),9330,8927
20220106,5호선,명일,8103,8542
20220106,5호선,고덕,9155,9302
20220106,5호선,상일동,15209,13937
20220106,5호선,둔촌동,8643,8651
20220106,5호선,올림픽공원(한국체대),4177,3552
20220106,5호선,방이,7280,7447
20220106,5호선,오금,3604,3643
20220106,5호선,개롱,6195,6440
20220106,5호선,거여,9053,8517
20220106,5호선,마천,6638,6621
20220106,5호선,강일,3798,3702
20220106,5호선,미사,15657,15730
20220106,5호선,하남풍산,4163,4285
20220106,5호선,하남시청(덕풍·신장),6264,5961
20220106,5호선,하남검단산,5381,5163
20220106,6호선,응암,17117,16966
20220106,6호선,역촌,3676,4470
20220106,6호선,불광,4123,4049
20220106,6호선,독바위,2660,2782
20220106,6호선,구산,7321,5632
20220106,6호선,새절(신사),12307,11552
20220106,6호선,증산(명지대앞),9906,10109
20220106,6호선,디지털미디어시티,13675,14847
20220106,6호선,월드컵경기장(성산),3613,3761
20220106,6호선,마포구청,13805,12754
20220106,6호선,망원,13440,14694
20220106,6호선,합정,12685,12255
20220106,6호선,상수,7835,8655
20220106,6호선,광흥창(서강),8869,8507
20220106,6호선,대흥(서강대앞),7565,7769
20220106,6호선,공덕,17767,17189
20220106,6호선,효창공원앞,6767,6185
20220106,6호선,삼각지,6052,5482
20220106,6호선,녹사평(용산구청),4500,4406
20220106,6호선,이태원,8726,8881
20220106,6호선,한강진,8139,9133
20220106,6호선,버티고개,1877,1990
20220106,6호선,약수,3553,3431
20220106,6호선,청구,3681,3974
20220106,6호선,신당,8214,8605
20220106,6호선,동묘앞,7253,7450
20220106,6호선,창신,3388,2811
20220106,6호선,보문,6967,6481
20220106,6호선,안암(고대병원앞),9558,9654
20220106,6호선,고려대(종암),7346,7120
20220106,6호선,월곡(동덕여대),10914,11020
20220106,6호선,상월곡(한국과학기술연구원),6034,5415
20220106,6호선,돌곶이,9032,8422
20220106,6호선,석계,11713,12007
20220106,6호선,태릉입구,5273,5739
20220106,6호선,화랑대(서울여대입구),11240,8860
20220106,6호선,봉화산(서울의료원),8666,8260
20220106,6호선,신내,1,0
20220106,7호선,장암,2202,840
20220106,7호선,도봉산,8642,10018
20220106,7호선,수락산,12209,12056
20220106,7호선,마들,12409,12006
20220106,7호선,노원,19180,19686
20220106,7호선,중계,13565,12530
20220106,7호선,하계,17006,16151
20220106,7호선,공릉(서울과학기술대),11283,11241
20220106,7호선,태릉입구,8155,7653
20220106,7호선,먹골,9766,9596
20220106,7호선,중화,10642,10386
20220106,7호선,상봉(시외버스터미널),16455,15680
20220106,7호선,면목,14954,14670
20220106,7호선,사가정,15563,15632
20220106,7호선,용마산(용마폭포공원),6097,5870
20220106,7호선,중곡,10520,10136
20220106,7호선,군자(능동),14840,11937
20220106,7호선,어린이대공원(세종대),11871,11593
20220106,7호선,건대입구,11648,12257
20220106,7호선,뚝섬유원지,7027,6865
20220106,7호선,청담,19516,21945
20220106,7호선,강남구청,16723,18363
20220106,7호선,학동,25404,26973
20220106,7호선,논현,20791,22527
20220106,7호선,반포,5712,5324
20220106,7호선,고속터미널,14893,12710
20220106,7호선,내방,14475,14856
20220106,7호선,이수,15310,14893
20220106,7호선,남성,10883,10149
20220106,7호선,숭실대입구(살피재),11410,11641
20220106,7호선,상도,10464,10291
20220106,7호선,장승배기,8809,8683
20220106,7호선,신대방삼거리,16338,15714
20220106,7호선,보라매,9678,9744
20220106,7호선,신풍,11195,10776
20220106,7호선,대림(구로구청),7522,7544
20220106,7호선,남구로,15885,16757
20220106,7호선,가산디지털단지,47851,47621
20220106,7호선,철산,20585,21148
20220106,7호선,광명사거리,21835,21525
20220106,7호선,천왕,11259,10768
20220106,7호선,온수(성공회대입구),10037,9221
20220106,7호선,신중동,1,0
20220106,7호선,부평구청,2,0
20220106,8호선,암사,18657,16597
20220106,8호선,천호(풍납토성),14756,16819
20220106,8호선,강동구청,10372,10724
20220106,8호선,몽촌토성(평화의문),6020,6107
20220106,8호선,잠실(송파구청),14152,16381
20220106,8호선,석촌,7815,8850
20220106,8호선,송파,7210,7330
20220106,8호선,가락시장,7819,8549
20220106,8호선,문정,22678,23904
20220106,8호선,장지,17198,16487
20220106,8호선,복정,9429,7912
20220106,8호선,산성,5100,5225
20220106,8호선,남한산성입구(성남법원.검찰청),13079,12040
20220106,8호선,단대오거리,10172,9884
20220106,8호선,신흥,4123,4556
20220106,8호선,수진,5233,4726
20220106,8호선,모란,4268,3227
20220106,8호선,남위례,3545,3874
20220106,9호선,개화,2436,1672
20220106,9호선,김포공항,6839,10131
20220106,9호선,공항시장,2842,3149
20220106,9호선,신방화,6745,6599
20220106,9호선,마곡나루(서울식물원),11810,11643
20220106,9호선,양천향교,9457,9774
20220106,9호선,가양,19891,19636
20220106,9호선,증미,7316,7334
20220106,9호선,등촌,11255,11134
20220106,9호선,염창,16983,16675
20220106,9호선,신목동,3907,3552
20220106,9호선,선유도,8683,8328
20220106,9호선,당산,17890,17815
20220106,9호선,국회의사당,17264,17499
20220106,9호선,여의도,27737,26498
20220106,9호선,샛강,6000,6345
20220106,9호선,노량진,25383,24626
20220106,9호선,노들,4363,3757
20220106,9호선,흑석(중앙대입구),7699,8134
20220106,9호선,동작(현충원),1837,1485
20220106,9호선,구반포,1434,1553
20220106,9호선,신반포,3206,3167
20220106,9호선,고속터미널,11423,14551
20220106,9호선,사평,3434,3329
20220106,9호선,신논현,32112,31789
20220106,9호선2~3단계,언주,10857,11133
20220106,9호선2~3단계,선정릉,9749,10602
20220106,9호선2~3단계,삼성중앙,6744,7136
20220106,9호선2~3단계,봉은사,15577,16044
20220106,9호선2~3단계,종합운동장,4131,4202
20220106,9호선2~3단계,삼전,6789,6728
20220106,9호선2~3단계,석촌고분,6216,6010
20220106,9호선2~3단계,석촌,8204,7347
20220106,9호선2~3단계,송파나루,5134,5307
20220106,9호선2~3단계,한성백제,2493,2314
20220106,9호선2~3단계,올림픽공원(한국체대),5900,5892
20220106,9호선2~3단계,둔촌오륜,945,943
20220106,9호선2~3단계,중앙보훈병원,10588,9442
20220106,경강선,판교,4613,4571
20220106,경강선,이매,1019,889
20220106,경강선,삼동,2394,2160
20220106,경강선,경기광주,7460,7049
20220106,경강선,초월,2969,2881
20220106,경강선,곤지암,2104,2051
20220106,경강선,신둔도예촌,1261,1216
20220106,경강선,이천,2408,2472
20220106,경강선,부발,2006,1837
20220106,경강선,세종대왕릉,266,262
20220106,경강선,여주,1794,1774
